GIP_GXP,TRADING_DATE,TRADING_PERIOD,PRICE
OTA2201,5/01/07,36,26.64
OTA2201,5/01/07,37,25.47
OTA2201,5/01/07,38,27.29
OTA2201,5/01/07,39,25.45
OTA2201,5/01/07,40,20.2
OTA2201,5/01/07,41,18.5
OTA2201,5/01/07,42,20.2
OTA2201,5/01/07,43,25.51
OTA2201,5/01/07,44,25.47
OTA2201,5/01/07,45,23.36
OTA2201,5/01/07,46,20.97
OTA2201,5/01/07,47,25.51
OTA2201,5/01/07,48,25.35
OTA2201,6/01/07,1,25.34
OTA2201,6/01/07,2,25.32
OTA2201,6/01/07,3,25.16
OTA2201,6/01/07,4,21.11
OTA2201,6/01/07,5,25.46
OTA2201,6/01/07,6,25.46
OTA2201,6/01/07,7,25.5
OTA2201,6/01/07,8,28.75
OTA2201,6/01/07,9,28.75
OTA2201,6/01/07,10,28.72
OTA2201,6/01/07,11,28.72
OTA2201,6/01/07,12,29.32
OTA2201,6/01/07,13,28.14
OTA2201,6/01/07,14,25.44
OTA2201,6/01/07,15,22.41
OTA2201,6/01/07,16,22.82
OTA2201,6/01/07,17,27.4
OTA2201,6/01/07,18,29.89
OTA2201,6/01/07,19,28.44
OTA2201,6/01/07,20,21.21
OTA2201,6/01/07,21,21.23
OTA2201,6/01/07,22,21.02
OTA2201,6/01/07,23,18.35
OTA2201,6/01/07,24,17.97
OTA2201,6/01/07,25,15.26
OTA2201,6/01/07,26,15.26
OTA2201,6/01/07,27,15.26
OTA2201,6/01/07,28,16.28
OTA2201,6/01/07,29,15.29
OTA2201,6/01/07,30,15.29
OTA2201,6/01/07,31,18.5
OTA2201,6/01/07,32,15.29
OTA2201,6/01/07,33,20.39
OTA2201,6/01/07,34,21.03
OTA2201,6/01/07,35,35.59
OTA2201,6/01/07,36,37.42
OTA2201,6/01/07,37,37.48
OTA2201,6/01/07,38,37.6
OTA2201,6/01/07,39,36.39
OTA2201,6/01/07,40,28.82
OTA2201,6/01/07,41,23.89
OTA2201,6/01/07,42,27.12
OTA2201,6/01/07,43,36.04
OTA2201,6/01/07,44,28.89
OTA2201,6/01/07,45,28.62
OTA2201,6/01/07,46,25.95
OTA2201,6/01/07,47,23.48
OTA2201,6/01/07,48,25.55
OTA2201,7/01/07,1,13.09
OTA2201,7/01/07,2,18.84
OTA2201,7/01/07,3,22.59
OTA2201,7/01/07,4,26.14
OTA2201,7/01/07,5,26.14
OTA2201,7/01/07,6,20.93
OTA2201,7/01/07,7,23.02
OTA2201,7/01/07,8,25.46
OTA2201,7/01/07,9,25.46
OTA2201,7/01/07,10,27.15
OTA2201,7/01/07,11,32.18
OTA2201,7/01/07,12,30.93
OTA2201,7/01/07,13,26.14
OTA2201,7/01/07,14,25.37
OTA2201,7/01/07,15,22.93
OTA2201,7/01/07,16,25.85
OTA2201,7/01/07,17,26.4
OTA2201,7/01/07,18,25.38
OTA2201,7/01/07,19,25.68
OTA2201,7/01/07,20,31.45
OTA2201,7/01/07,21,36.35
OTA2201,7/01/07,22,36.36
OTA2201,7/01/07,23,39.06
OTA2201,7/01/07,24,38.57
OTA2201,7/01/07,25,36.44
OTA2201,7/01/07,26,36.38
OTA2201,7/01/07,27,29.42
OTA2201,7/01/07,28,23.19
